Final score = 0.956
Score Matrix: 
[[ 968    0    1    0    0    2    4    1    4    0]
 [   0 1117    2    2    0    1    5    2    6    0]
 [  12    0  976    5    7    0    9    8   13    2]
 [   0    0   13  962    0   10    0   10   12    3]
 [   1    1    4    0  934    0    9    3    4   26]
 [   8    1    1   18    0  837   12    2    9    4]
 [  10    3    3    1    5    8  923    1    4    0]
 [   0    9   20    3    2    1    0  980    1   12]
 [   6    2    5   11    6    7    8    7  919    3]
 [  10    7    1    8   20    6    1    6    6  944]]
